# run started 2026-08-17 06:47:21
# name	seconds	imported_kwh	annual_bill_eur
poor|w=12.0|pv=00.0|bat=15.0          	  442.6	  6891.9	  1156.25
poor|w=12.0|pv=00.0|bat=05.0          	  449.1	  6490.5	  1226.41
good|w=06.0|pv=00.0|bat=20.0          	  256.8	  7007.1	  1186.54
good|w=06.0|pv=00.0|bat=15.0          	  257.5	  6813.1	  1205.69
pv-only|w=06.0|pv=06.0|bat=20.0       	  255.2	  3862.5	   131.97
good|w=06.0|pv=00.0|bat=10.0          	  263.7	  6632.6	  1225.97
pv-only|w=06.0|pv=06.0|bat=15.0       	  257.3	  3806.2	   183.66
pv-only|w=06.0|pv=06.0|bat=10.0       	  261.7	  3774.0	   267.82
pv-only|w=06.0|pv=06.0|bat=05.0       	  259.4	  3809.0	   393.00
good|w=06.0|pv=00.0|bat=05.0          	  276.5	  6480.0	  1250.33
typical|w=06.0|pv=00.0|bat=20.0       	  255.3	  7006.9	  1186.84
poor|w=24.0|pv=12.0|bat=20.0          	  767.4	  1437.8	  -786.47
typical|w=06.0|pv=00.0|bat=15.0       	  257.8	  6812.9	  1205.98
poor|w=24.0|pv=12.0|bat=05.0          	  770.7	  2840.5	  -256.24
load-only|w=06.0|pv=06.0|bat=20.0     	  255.2	  3865.2	   132.17
poor|w=24.0|pv=12.0|bat=15.0          	  771.1	  1592.5	  -644.42
good|w=24.0|pv=06.0|bat=10.0          	  773.0	  2636.9	   116.82
poor|w=24.0|pv=12.0|bat=10.0          	  775.0	  2012.5	  -474.98
good|w=24.0|pv=06.0|bat=15.0          	  774.3	  2254.1	   -16.13
load-only|w=06.0|pv=06.0|bat=15.0     	  256.8	  3808.9	   183.95
good|w=24.0|pv=06.0|bat=05.0          	  775.3	  3339.2	   306.74
typical|w=06.0|pv=00.0|bat=10.0       	  261.7	  6632.5	  1226.25
load-only|w=06.0|pv=06.0|bat=10.0     	  255.6	  3776.7	   268.03
good|w=24.0|pv=06.0|bat=20.0          	  782.1	  2219.1	  -102.51
load-only|w=06.0|pv=06.0|bat=05.0     	  262.8	  3813.2	   393.35
typical|w=06.0|pv=00.0|bat=05.0       	  273.8	  6479.8	  1250.71
good|w=12.0|pv=12.0|bat=15.0          	  430.3	  2591.6	  -529.71
good|w=12.0|pv=12.0|bat=10.0          	  433.6	  2739.7	  -378.45
good|w=12.0|pv=12.0|bat=05.0          	  433.1	  3207.3	  -182.64
good|w=12.0|pv=12.0|bat=20.0          	  436.0	  2529.2	  -662.62
pv-only|w=12.0|pv=00.0|bat=20.0       	  431.3	  7095.6	  1128.60
pv-only|w=12.0|pv=00.0|bat=10.0       	  431.4	  6676.4	  1180.14
pv-only|w=12.0|pv=00.0|bat=15.0       	  431.6	  6888.5	  1153.95
pv-only|w=12.0|pv=00.0|bat=05.0       	  439.0	  6492.5	  1224.05
poor|w=06.0|pv=00.0|bat=20.0          	  248.1	  7007.0	  1187.45
poor|w=06.0|pv=00.0|bat=15.0          	  247.6	  6813.0	  1206.58
poor|w=06.0|pv=00.0|bat=10.0          	  250.3	  6632.8	  1226.83
poor|w=06.0|pv=00.0|bat=05.0          	  262.6	  6479.2	  1251.63
perfect|w=12.0|pv=06.0|bat=20.0       	  414.5	  3111.9	    -7.49
perfect|w=12.0|pv=06.0|bat=15.0       	  414.3	  3166.2	    85.57
perfect|w=12.0|pv=06.0|bat=10.0       	  412.3	  3292.6	   205.91
perfect|w=12.0|pv=06.0|bat=05.0       	  421.4	  3667.1	   375.52
pv-only|w=06.0|pv=00.0|bat=20.0       	  246.4	  7007.5	  1186.19
pv-only|w=06.0|pv=00.0|bat=15.0       	  246.6	  6813.6	  1205.36
typical|w=12.0|pv=12.0|bat=15.0       	  416.8	  2602.4	  -528.43
typical|w=12.0|pv=12.0|bat=10.0       	  418.4	  2750.2	  -377.15
pv-only|w=06.0|pv=00.0|bat=10.0       	  250.6	  6633.0	  1225.65
typical|w=12.0|pv=12.0|bat=05.0       	  424.3	  3217.7	  -181.55
typical|w=12.0|pv=12.0|bat=20.0       	  424.0	  2540.0	  -661.22
load-only|w=12.0|pv=00.0|bat=20.0     	  423.9	  7097.6	  1129.79
perfect|w=24.0|pv=00.0|bat=20.0       	    1.1	  7051.4	  1013.59
load-only|w=12.0|pv=00.0|bat=10.0     	  425.1	  6675.0	  1181.64
perfect|w=24.0|pv=00.0|bat=10.0       	    1.5	  6657.2	  1106.15
load-only|w=12.0|pv=00.0|bat=15.0     	  429.8	  6889.9	  1155.07
perfect|w=24.0|pv=00.0|bat=15.0       	    1.3	  6851.0	  1057.80
load-only|w=12.0|pv=00.0|bat=05.0     	  428.2	  6491.7	  1224.98
perfect|w=24.0|pv=00.0|bat=05.0       	    1.2	  6495.0	  1183.60
pv-only|w=06.0|pv=00.0|bat=05.0       	  259.8	  6480.3	  1249.98
poor|w=48.0|pv=06.0|bat=15.0          	 1465.2	  2219.6	   -70.40
poor|w=48.0|pv=06.0|bat=10.0          	 1469.4	  2442.6	    50.56
poor|w=48.0|pv=06.0|bat=20.0          	 1472.1	  2216.2	  -155.55
poor|w=48.0|pv=06.0|bat=05.0          	 1480.1	  3050.5	   227.76
perfect|w=48.0|pv=00.0|bat=20.0       	 1487.8	  7081.7	   939.51
load-only|w=06.0|pv=00.0|bat=20.0     	  239.7	  7006.9	  1186.84
perfect|w=48.0|pv=00.0|bat=15.0       	 1501.4	  6834.4	   986.48
perfect|w=48.0|pv=00.0|bat=05.0       	 1502.1	  6494.1	  1122.45
load-only|w=06.0|pv=00.0|bat=15.0     	  240.0	  6812.9	  1205.98
perfect|w=48.0|pv=00.0|bat=10.0       	 1503.9	  6650.3	  1042.05
load-only|w=06.0|pv=00.0|bat=10.0     	  243.8	  6632.5	  1226.25
pv-only|w=24.0|pv=12.0|bat=20.0       	  756.5	  1387.0	  -791.12
pv-only|w=24.0|pv=12.0|bat=15.0       	  758.9	  1542.0	  -649.21
pv-only|w=24.0|pv=12.0|bat=10.0       	  757.2	  1965.8	  -480.42
typical|w=24.0|pv=06.0|bat=10.0       	  758.0	  2646.7	   118.37
pv-only|w=24.0|pv=12.0|bat=05.0       	  763.1	  2818.5	  -259.31
typical|w=24.0|pv=06.0|bat=15.0       	  763.7	  2263.8	   -14.45
typical|w=24.0|pv=06.0|bat=05.0       	  773.5	  3343.6	   307.56
typical|w=24.0|pv=06.0|bat=20.0       	  775.2	  2230.4	  -100.21
load-only|w=06.0|pv=00.0|bat=05.0     	  254.7	  6479.8	  1250.71
good|w=12.0|pv=06.0|bat=20.0          	  414.5	  3118.2	    -6.95
good|w=12.0|pv=06.0|bat=10.0          	  410.5	  3296.4	   206.42
good|w=12.0|pv=06.0|bat=15.0          	  412.4	  3170.2	    86.05
good|w=12.0|pv=06.0|bat=05.0          	  414.9	  3673.6	   376.28
poor|w=12.0|pv=12.0|bat=15.0          	  408.5	  2623.6	  -525.73
poor|w=12.0|pv=12.0|bat=10.0          	  412.4	  2770.3	  -374.67
poor|w=12.0|pv=12.0|bat=05.0          	  408.5	  3238.8	  -179.31
poor|w=12.0|pv=12.0|bat=20.0          	  415.9	  2560.6	  -658.43
perfect|w=12.0|pv=00.0|bat=20.0       	  409.5	  7095.6	  1128.60
perfect|w=12.0|pv=00.0|bat=15.0       	  413.3	  6888.5	  1153.95
perfect|w=12.0|pv=00.0|bat=10.0       	  411.0	  6676.4	  1180.14
typical|w=12.0|pv=06.0|bat=20.0       	  412.3	  3125.1	    -5.92
typical|w=12.0|pv=06.0|bat=10.0       	  411.2	  3301.5	   207.20
perfect|w=12.0|pv=00.0|bat=05.0       	  423.5	  6492.5	  1224.05
typical|w=12.0|pv=06.0|bat=15.0       	  413.5	  3176.3	    87.06
typical|w=12.0|pv=06.0|bat=05.0       	  411.4	  3680.3	   377.06
good|w=24.0|pv=00.0|bat=20.0          	  757.7	  7052.5	  1014.96
good|w=24.0|pv=00.0|bat=10.0          	  753.5	  6656.9	  1107.12
good|w=24.0|pv=00.0|bat=15.0          	  758.3	  6851.1	  1058.71
pv-only|w=12.0|pv=12.0|bat=15.0       	  406.8	  2592.8	  -529.39
good|w=24.0|pv=00.0|bat=05.0          	  771.4	  6494.9	  1183.83
pv-only|w=12.0|pv=12.0|bat=05.0       	  410.1	  3208.2	  -182.28
pv-only|w=12.0|pv=12.0|bat=10.0       	  414.4	  2740.9	  -378.22
pv-only|w=12.0|pv=12.0|bat=20.0       	  418.9	  2528.9	  -662.27
load-only|w=24.0|pv=12.0|bat=15.0     	  735.7	  1552.1	  -649.16
load-only|w=24.0|pv=12.0|bat=20.0     	  741.9	  1398.3	  -790.82
load-only|w=24.0|pv=12.0|bat=10.0     	  734.1	  1980.2	  -479.20
load-only|w=24.0|pv=12.0|bat=05.0     	  742.0	  2821.9	  -259.06
poor|w=24.0|pv=06.0|bat=10.0          	  744.3	  2665.5	   121.50
poor|w=24.0|pv=06.0|bat=15.0          	  747.7	  2282.6	   -10.45
poor|w=24.0|pv=06.0|bat=05.0          	  750.2	  3353.2	   309.33
poor|w=24.0|pv=06.0|bat=20.0          	  760.0	  2250.1	   -95.31
good|w=12.0|pv=00.0|bat=20.0          	  414.1	  7096.6	  1129.21
good|w=12.0|pv=00.0|bat=15.0          	  415.3	  6888.9	  1154.48
good|w=12.0|pv=00.0|bat=10.0          	  414.9	  6675.2	  1180.87
poor|w=12.0|pv=06.0|bat=10.0          	  407.7	  3313.5	   208.97
poor|w=12.0|pv=06.0|bat=20.0          	  411.6	  3141.2	    -3.41
poor|w=12.0|pv=06.0|bat=15.0          	  408.7	  3191.4	    89.49
good|w=12.0|pv=00.0|bat=05.0          	  425.9	  6492.2	  1224.41
poor|w=12.0|pv=06.0|bat=05.0          	  410.3	  3694.8	   378.72
load-only|w=12.0|pv=12.0|bat=15.0     	  408.1	  2595.1	  -529.39
perfect|w=24.0|pv=12.0|bat=15.0       	    1.3	  1528.4	  -651.02
load-only|w=12.0|pv=12.0|bat=10.0     	  406.3	  2743.7	  -377.98
perfect|w=24.0|pv=12.0|bat=10.0       	    1.2	  1956.5	  -481.63
load-only|w=12.0|pv=12.0|bat=05.0     	  409.9	  3211.1	  -182.33
perfect|w=24.0|pv=12.0|bat=05.0       	    1.2	  2810.9	  -260.44
load-only|w=12.0|pv=12.0|bat=20.0     	  413.1	  2534.4	  -662.25
perfect|w=24.0|pv=12.0|bat=20.0       	    1.1	  1371.7	  -792.81
typical|w=12.0|pv=00.0|bat=20.0       	  410.7	  7097.6	  1129.79
typical|w=12.0|pv=00.0|bat=15.0       	  403.8	  6889.9	  1155.07
typical|w=12.0|pv=00.0|bat=10.0       	  406.1	  6675.0	  1181.64
typical|w=24.0|pv=00.0|bat=20.0       	  739.6	  7052.9	  1016.39
typical|w=24.0|pv=00.0|bat=10.0       	  742.1	  6655.9	  1108.39
typical|w=24.0|pv=00.0|bat=15.0       	  738.3	  6851.0	  1059.62
pv-only|w=12.0|pv=06.0|bat=10.0       	  390.4	  3297.3	   206.65
pv-only|w=12.0|pv=06.0|bat=15.0       	  389.3	  3171.0	    86.75
pv-only|w=12.0|pv=06.0|bat=20.0       	  393.6	  3118.1	    -6.12
typical|w=24.0|pv=00.0|bat=05.0       	  743.5	  6494.8	  1184.06
pv-only|w=12.0|pv=06.0|bat=05.0       	  387.6	  3672.3	   376.18
typical|w=12.0|pv=00.0|bat=05.0       	  405.1	  6491.7	  1224.98
pv-only|w=48.0|pv=06.0|bat=10.0       	 1393.1	  2391.4	    44.41
pv-only|w=48.0|pv=06.0|bat=20.0       	 1395.5	  2161.7	  -164.09
pv-only|w=48.0|pv=06.0|bat=15.0       	 1403.3	  2159.4	   -79.06
pv-only|w=48.0|pv=06.0|bat=05.0       	 1400.5	  3031.8	   224.89
good|w=48.0|pv=00.0|bat=20.0          	 1413.2	  7083.6	   940.17
good|w=48.0|pv=00.0|bat=15.0          	 1414.4	  6836.8	   987.17
good|w=48.0|pv=00.0|bat=05.0          	 1416.4	  6494.1	  1122.62
good|w=48.0|pv=00.0|bat=10.0          	 1419.7	  6651.1	  1042.65
pv-only|w=24.0|pv=06.0|bat=10.0       	  699.8	  2629.7	   116.23
pv-only|w=24.0|pv=06.0|bat=15.0       	  700.6	  2248.8	   -16.18
pv-only|w=24.0|pv=06.0|bat=05.0       	  703.1	  3337.3	   306.47
pv-only|w=24.0|pv=06.0|bat=20.0       	  706.6	  2211.1	  -102.42
load-only|w=12.0|pv=06.0|bat=10.0     	  343.3	  3299.4	   206.77
load-only|w=12.0|pv=06.0|bat=15.0     	  343.5	  3174.3	    86.24
load-only|w=12.0|pv=06.0|bat=20.0     	  345.2	  3121.8	    -6.87
good|w=24.0|pv=12.0|bat=15.0          	  667.0	  1545.4	  -649.49
load-only|w=12.0|pv=06.0|bat=05.0     	  343.8	  3677.9	   376.71
good|w=24.0|pv=12.0|bat=10.0          	  663.6	  1972.3	  -480.00
good|w=24.0|pv=12.0|bat=05.0          	  665.3	  2818.3	  -259.38
good|w=24.0|pv=12.0|bat=20.0          	  659.8	  1390.9	  -791.25
poor|w=24.0|pv=00.0|bat=20.0          	  611.1	  7057.0	  1019.05
poor|w=24.0|pv=00.0|bat=15.0          	  607.6	  6853.5	  1061.87
poor|w=24.0|pv=00.0|bat=10.0          	  614.5	  6657.0	  1111.07
poor|w=24.0|pv=00.0|bat=05.0          	  611.9	  6494.3	  1184.81
perfect|w=48.0|pv=12.0|bat=15.0       	 1246.0	  1273.9	  -734.82
perfect|w=48.0|pv=12.0|bat=20.0       	 1246.2	  1162.7	  -873.92
perfect|w=48.0|pv=12.0|bat=10.0       	 1251.1	  1606.0	  -568.74
perfect|w=48.0|pv=12.0|bat=05.0       	 1252.0	  2391.2	  -353.91
load-only|w=24.0|pv=06.0|bat=10.0     	  566.9	  2645.5	   117.80
load-only|w=24.0|pv=06.0|bat=15.0     	  568.0	  2261.9	   -15.64
load-only|w=24.0|pv=06.0|bat=05.0     	  574.2	  3343.5	   307.35
load-only|w=24.0|pv=06.0|bat=20.0     	  584.8	  2228.3	  -102.10
typical|w=24.0|pv=12.0|bat=15.0       	  541.5	  1560.1	  -647.99
typical|w=24.0|pv=12.0|bat=10.0       	  543.0	  1984.9	  -478.43
typical|w=24.0|pv=12.0|bat=05.0       	  540.2	  2825.9	  -258.33
typical|w=24.0|pv=12.0|bat=20.0       	  545.0	  1407.3	  -789.83
pv-only|w=24.0|pv=00.0|bat=20.0       	  520.6	  7051.4	  1013.59
pv-only|w=24.0|pv=00.0|bat=15.0       	  524.6	  6851.0	  1057.80
pv-only|w=24.0|pv=00.0|bat=10.0       	  528.0	  6657.2	  1106.15
load-only|w=48.0|pv=06.0|bat=15.0     	 1078.2	  2183.5	   -77.51
load-only|w=48.0|pv=06.0|bat=10.0     	 1089.2	  2417.9	    46.45
load-only|w=48.0|pv=06.0|bat=05.0     	 1076.9	  3038.1	   225.39
load-only|w=48.0|pv=06.0|bat=20.0     	 1090.9	  2178.5	  -163.16
pv-only|w=24.0|pv=00.0|bat=05.0       	  527.2	  6495.0	  1183.60
typical|w=48.0|pv=00.0|bat=20.0       	 1101.0	  7085.4	   941.35
typical|w=48.0|pv=00.0|bat=10.0       	 1101.2	  6651.9	  1043.35
typical|w=48.0|pv=00.0|bat=15.0       	 1109.6	  6839.8	   988.07
typical|w=48.0|pv=00.0|bat=05.0       	 1108.7	  6494.0	  1122.87
perfect|w=06.0|pv=12.0|bat=15.0       	  160.3	  3252.3	  -451.47
perfect|w=06.0|pv=12.0|bat=10.0       	  160.2	  3203.5	  -327.57
perfect|w=06.0|pv=12.0|bat=05.0       	  155.8	  3276.0	  -177.37
perfect|w=06.0|pv=12.0|bat=20.0       	  161.2	  3303.5	  -560.67
good|w=06.0|pv=12.0|bat=15.0          	  164.8	  3258.5	  -450.88
good|w=06.0|pv=12.0|bat=10.0          	  160.9	  3210.1	  -326.90
good|w=06.0|pv=12.0|bat=05.0          	  160.4	  3282.7	  -176.67
good|w=06.0|pv=12.0|bat=20.0          	  159.0	  3309.8	  -560.05
load-only|w=24.0|pv=00.0|bat=20.0     	  491.6	  7052.9	  1016.39
typical|w=06.0|pv=12.0|bat=05.0       	  155.3	  3289.6	  -175.99
load-only|w=24.0|pv=00.0|bat=15.0     	  495.7	  6851.0	  1059.62
typical|w=06.0|pv=12.0|bat=15.0       	  160.9	  3264.2	  -450.27
typical|w=06.0|pv=12.0|bat=10.0       	  160.9	  3216.2	  -326.24
typical|w=06.0|pv=12.0|bat=20.0       	  159.3	  3315.7	  -559.39
load-only|w=24.0|pv=00.0|bat=10.0     	  502.1	  6655.9	  1108.39
good|w=48.0|pv=12.0|bat=20.0          	  941.3	  1184.3	  -872.05
good|w=48.0|pv=12.0|bat=15.0          	  945.5	  1300.4	  -732.60
good|w=48.0|pv=12.0|bat=10.0          	  955.7	  1627.8	  -566.71
load-only|w=24.0|pv=00.0|bat=05.0     	  502.4	  6494.8	  1184.06
good|w=48.0|pv=12.0|bat=05.0          	  947.8	  2396.8	  -352.92
perfect|w=48.0|pv=06.0|bat=15.0       	  931.8	  2152.5	   -80.25
perfect|w=48.0|pv=06.0|bat=10.0       	  944.7	  2386.6	    43.58
perfect|w=48.0|pv=06.0|bat=05.0       	  941.0	  3027.1	   223.94
perfect|w=48.0|pv=06.0|bat=20.0       	  948.5	  2154.6	  -165.87
poor|w=06.0|pv=12.0|bat=05.0          	  136.2	  3304.0	  -174.43
poor|w=06.0|pv=12.0|bat=15.0          	  136.2	  3275.1	  -448.87
poor|w=06.0|pv=12.0|bat=10.0          	  138.0	  3228.1	  -324.86
poor|w=06.0|pv=12.0|bat=20.0          	  137.9	  3327.1	  -558.07
pv-only|w=06.0|pv=12.0|bat=05.0       	  134.7	  3284.3	  -176.39
pv-only|w=06.0|pv=12.0|bat=15.0       	  132.1	  3260.6	  -450.42
pv-only|w=06.0|pv=12.0|bat=10.0       	  137.3	  3211.9	  -326.55
pv-only|w=06.0|pv=12.0|bat=20.0       	  136.9	  3312.0	  -559.63
load-only|w=06.0|pv=12.0|bat=05.0     	  132.8	  3283.9	  -176.67
load-only|w=06.0|pv=12.0|bat=15.0     	  134.4	  3258.6	  -451.00
load-only|w=06.0|pv=12.0|bat=10.0     	  135.7	  3210.6	  -326.95
load-only|w=06.0|pv=12.0|bat=20.0     	  135.2	  3310.3	  -560.11
poor|w=48.0|pv=00.0|bat=20.0          	  870.7	  7092.3	   943.75
poor|w=48.0|pv=00.0|bat=10.0          	  862.5	  6654.5	  1044.59
poor|w=48.0|pv=00.0|bat=15.0          	  863.1	  6846.0	   990.23
poor|w=48.0|pv=00.0|bat=05.0          	  868.9	  6493.6	  1123.43
typical|w=48.0|pv=12.0|bat=20.0       	  725.1	  1205.0	  -869.66
typical|w=48.0|pv=12.0|bat=15.0       	  728.1	  1323.1	  -730.33
typical|w=48.0|pv=12.0|bat=10.0       	  722.2	  1644.7	  -564.59
good|w=48.0|pv=06.0|bat=15.0          	  715.1	  2168.7	   -78.55
typical|w=48.0|pv=12.0|bat=05.0       	  727.7	  2403.5	  -351.80
good|w=48.0|pv=06.0|bat=10.0          	  734.3	  2403.0	    45.32
good|w=48.0|pv=06.0|bat=05.0          	  732.4	  3035.1	   225.03
good|w=48.0|pv=06.0|bat=20.0          	  732.0	  2167.7	  -164.03
pv-only|w=48.0|pv=00.0|bat=20.0       	  703.5	  7081.7	   939.51
pv-only|w=48.0|pv=00.0|bat=10.0       	  707.0	  6650.3	  1042.05
pv-only|w=48.0|pv=00.0|bat=15.0       	  708.8	  6834.4	   986.48
pv-only|w=48.0|pv=00.0|bat=05.0       	  712.8	  6494.1	  1122.45
poor|w=48.0|pv=12.0|bat=20.0          	  678.4	  1248.9	  -863.61
poor|w=48.0|pv=12.0|bat=15.0          	  678.7	  1368.5	  -724.38
typical|w=48.0|pv=06.0|bat=15.0       	  661.8	  2187.1	   -76.25
poor|w=48.0|pv=12.0|bat=10.0          	  679.8	  1673.5	  -560.04
poor|w=48.0|pv=12.0|bat=05.0          	  682.8	  2416.5	  -349.25
typical|w=48.0|pv=06.0|bat=10.0       	  686.7	  2416.9	    46.85
typical|w=48.0|pv=06.0|bat=05.0       	  686.6	  3040.6	   226.08
typical|w=48.0|pv=06.0|bat=20.0       	  687.1	  2179.2	  -161.44
load-only|w=48.0|pv=00.0|bat=20.0     	  650.1	  7085.4	   941.35
